Publication,Year,URL,Views,Downloads,Citations,Peer Reviewed
Privacy pitfalls of online service terms and conditions: a hybrid approach for classification and summarization,2022,https://aclanthology.org/2022.nllp-1.6/,0,0,9,Y
Analysing Longitudinal Social Science Questionnaires: Topic modelling with BERT-based Embeddings,2022,https://ieeexplore.ieee.org/abstract/document/10020678,771,0,32,Y
Analysing Longitudinal Social Science Questionnaires: Topic modelling with BERT-based Embeddings,2022,https://discovery.ucl.ac.uk/id/eprint/10165551/,0,1412,0,Y
Analysing Longitudinal Social Science Questionnaires: Topic modelling with BERT-based Embeddings,2022,https://openresearch.surrey.ac.uk/esploro/outputs/conferenceProceeding/Analysing-Longitudinal-Social-Science-Questionnaires-Topic/99710566402346,78,5498,0,Y
Engineering a Machine Learning Pipeline for Automating Metadata Extraction from Longitudinal Survey Questionnaires,2022,https://zenodo.org/records/5742916,433,227,5,N
ICDXML: enhancing ICD coding with probabilistic label trees and dynamic semantic representations,2023,https://www.nature.com/articles/s41598-024-69214-9,0,6098,13,Y
ICDXML: enhancing ICD coding with probabilistic label trees and dynamic semantic representations,2023,https://openresearch.surrey.ac.uk/esploro/outputs/journalArticle/ICDXML-enhancing-ICD-coding-with-probabilistic/99907866502346#metrics,80,0,0,Y
Initial findings from the automation of extraction of metadata from questionnaires and its classification, 2023,https://zenodo.org/records/11172552,212,247,0,N
Biases and Ethical Considerations for Machine Learning Pipelines in the Computational Social Sciences,2023,https://link.springer.com/chapter/10.1007/978-981-99-7184-8_6,0,1050,8,Y
Revealing COVID-19's Social Dynamics: Diachronic Semantic Analysis of Vaccine and Symptom Discourse on Twitter,2024,https://arxiv.org/abs/2410.08352,0,0,5,N
Revealing COVID-19's Social Dynamics: Diachronic Semantic Analysis of Vaccine and Symptom Discourse on Twitter,2024, https://openresearch.surrey.ac.uk/esploro/outputs/conferenceProceeding/Revealing-COVID-19s-Social-Dynamics-Diachronic-Semantic/99925864602346#metrics,56,8,0,N
Metacurate-ML: Metadata Extraction from CAIs, 2024,https://zenodo.org/records/14697417,239,121,0,N
Metacurate-ML: Metadata Extraction from CAIs, 2024,https://openresearch.surrey.ac.uk/esploro/outputs/conferencePresentation/Metacurate-ML-Metadata-Extraction-from-CAIs/99961066402346,65,28,0,N
Metacurate-ML: Conceptual Comparison, 2024,https://zenodo.org/records/14697351,238,154,0,N
Metacurate-ML: Enhanced Data Curation - Automation of Disclosure Control Assessment,2024, https://zenodo.org/records/14699129,130,70,0,N
Are Information Retrieval Approaches Good at Harmonising Longitudinal Surveys in Social Science?,2025,https://dl.acm.org/doi/abs/10.1145/3726302.3730164,0,2908,2,Y
Are Information Retrieval Approaches Good at Harmonising Longitudinal Surveys in Social Science?,2025,https://ui.adsabs.harvard.edu/abs/2025arXiv250420679L/abstract,9,1,0,Y
Are Information Retrieval Approaches Good at Harmonising Longitudinal Surveys in Social Science?,2025,https://openresearch.surrey.ac.uk/esploro/outputs/conferenceProceeding/Are-Information-Retrieval-Approaches-Good-at/99990365702346,56,7,0,Y
Back to the rough ground!: Retrieving concepts in survey research and its potential uses,2025,https://zenodo.org/records/15793123,84,20,0,N
Back to the rough ground! Retrieving concepts in survey research and its potential uses: AI modelling for Social Science data,2025,https://zenodo.org/records/15793427,154,57,0,N
Back to the rough ground! Retrieving concepts in survey research and its potential uses: UKDS Curation Tooling,2025,https://zenodo.org/records/15793346,36,18,0,N
Towards High Performance Data Curation Statistical Disclosure Control Tooling, 2025, https://doi.org/10.23889/ijpds.v10i4.3158,0,0,0,Y
Beyond Surface Similarity: A Riemannian Hierarchical Ranking Framework for Sociological Concept Equivalence, 2025, https://doi.org/10.1145/3746252.3761029,137,0,0,Y
DLIR: Spherical Adaptation for Cross-Lingual Knowledge Transfer of Sociological Concepts Alignment, 2025, https://aclanthology.org/2025.findings-emnlp.109/,0,0,1,Y
DLIR: Spherical Adaptation for Cross-Lingual Knowledge Transfer of Sociological Concepts Alignment, 2025, https://openresearch.surrey.ac.uk/esploro/outputs/conferenceProceeding/DLIR-Spherical-Adaptation-for-Cross-Lingual-Knowledge/991050566202346?institution=44SUR_INST#metrics,17,0,0,Y
PMPO: A Self-Optimizing Framework for Creating High-Fidelity Measurement Tools for Social Bias in Large Language Models,2025, https://aclanthology.org/2025.ijcnlp-long.130/,0,0,0,Y
PMPO: A Self-Optimizing Framework for Creating High-Fidelity Measurement Tools for Social Bias in Large Language Models,2025, https://openresearch.surrey.ac.uk/esploro/outputs/conferenceProceeding/PMPO-A-Self-Optimizing-Framework-for-Creating/991074029002346,51,8,0,Y
OrthoGeoLoRA: Geometric Parameter-Efficient Fine-Tuning for Structured Social Science Concept Retrieval on the Web,2025,https://arxiv.org/abs/2601.09185,0,0,0,N
Trustworthy Classification for Complex Social Surveys: A Memory-Enhanced Hierarchical Framework with Calibrated Uncertainty,2026,https://doi.org/10.1609/aaai.v40i46.41291,0,0,0,Y
Decomposing Multilingual Representations: How Scale Architecture and Data Shape Functional Specialization,2026,https://doi.org/10.1109/ICASSP55912.2026.11462361,94,0,0,Y
